topico;edicao;ano;cidade_pais;agente_cargo;trecho_curto;trecho_discurso
Acordo de Paris;COP20;2014;Lima, Peru;Izabella Teixeira, Ministra do Meio Ambiente;Em Lima, devemos pavimentar o caminho para um acordo vinculante igualitário, ambicioso e efetivo nos termos da Convenção, aplicável a todas as partes, a ser adotado em Paris no ano que vem.;Em Varsóvia, as Partes aprovaram um quadro sólido de pagamentos por resultados para atividades de REDD+ e um mecanismo para abordar as perdas causadas por impactos negativos das mudanças do clima. Em Lima, devemos pavimentar o caminho para um acordo vinculante igualitário, ambicioso e efetivo nos termos da Convenção, aplicável a todas as partes, a ser adotado em Paris no ano que vem.
Acordo de Paris;COP22;2016;Marraquexe, Marrocos;José Sarney Filho, Ministro do Meio Ambiente;O importante acordo alcançado em Paris e seu rápido processo de entrada em vigor refletem o reconhecimento claro pela comunidade internacional de que a Convenção das Nações Unidas sobre Mudança Climática continua sendo o alicerce para coordenar a resposta global às mudanças do clima.;O importante acordo alcançado em Paris e seu rápido processo de entrada em vigor refletem o reconhecimento claro pela comunidade internacional de que a Convenção das Nações Unidas sobre Mudança Climática continua sendo o alicerce para coordenar a resposta global às mudanças do clima.
Acordo de Paris;COP22;2016;Marraquexe, Marrocos;José Sarney Filho, Ministro do Meio Ambiente;É somente por meio de um esforço concertado de todas as partes interessadas que iremos avançar para o nosso objetivo de manter o aumento da temperatura média global bem abaixo dos 2 graus centígrados e perseguir o limite de 1,5 graus, conforme estabelecido no Acordo de Paris.”;É somente por meio de um esforço concertado de todas as partes interessadas que iremos avançar para o nosso objetivo de manter o aumento da temperatura média global bem abaixo dos 2 graus centígrados e perseguir o limite de 1,5 graus, conforme estabelecido no Acordo de Paris.”
Acordo de Paris;COP22;2016;Marraquexe, Marrocos;José Sarney Filho, Ministro do Meio Ambiente;Neste ano, avançamos com base na atmosfera positiva estabelecida em Paris, permitindo que o acordo entrasse em vigor no dia 4 de novembro. No meu país, a rápida ratificação do Acordo de Paris, após a aprovação unânime do Congresso Nacional, demonstrou o alto nível de consenso político e a importância que a sociedade brasileira atribui à questão.;Neste ano, avançamos com base na atmosfera positiva estabelecida em Paris, permitindo que o acordo entrasse em vigor no dia 4 de novembro. No meu país, a rápida ratificação do Acordo de Paris, após a aprovação unânime do Congresso Nacional, demonstrou o alto nível de consenso político e a importância que a sociedade brasileira atribui à questão.
Acordo de Paris;COP22;2016;Marraquexe, Marrocos;José Sarney Filho, Ministro do Meio Ambiente;Também devemos concordar em avançar com rapidez nas questões que concordamos em enfrentar no encerramento da COP21, bem como permitir que a CMA conduza seu próprio trabalho, a fim de proporcionar condições internas e internacionais para que o Acordo de Paris seja implementado.;Também devemos concordar em avançar com rapidez nas questões que concordamos em enfrentar no encerramento da COP21, bem como permitir que a CMA conduza seu próprio trabalho, a fim de proporcionar condições internas e internacionais para que o Acordo de Paris seja implementado. Há muito trabalho a ser feito, e a rápida ratificação envia um sinal claro temos de fazê-lo o mais rápido possível – o mais tardar até 2018.
Acordo de Paris;COP22;2016;Marraquexe, Marrocos;José Sarney Filho, Ministro do Meio Ambiente;A Conferência de Marraqueche estabelece um marco de uma nova fase UNFCCC, focada na implementação do Acordo de Paris.;A Conferência de Marraqueche estabelece um marco de uma nova fase UNFCCC, focada na implementação do Acordo de Paris. Nos termos do todos nós devemos nos esforçar para a atingir a nossa maior ambição possível, refletindo as responsabilidades e capacidades de cada um de nós.
Acordo de Paris;COP22;2016;Marraquexe, Marrocos;José Sarney Filho, Ministro do Meio Ambiente;A iteração entre os objetivos do Acordo de Paris e a Agenda 2030 abre uma oportunidade para promover ainda mais o desenvolvimento sustentável no contexto de economias de baixo carbono.;Nosso desafio é fazê-lo enquanto continuamos a tirar as pessoas da pobreza. A iteração entre os objetivos do Acordo de Paris e a Agenda 2030 abre uma oportunidade para promover ainda mais o desenvolvimento sustentável no contexto de economias de baixo carbono.
Acordo de Paris;COP23;2017;Bonn, Alemanhã;José Sarney Filho, Ministro do Meio Ambiente;O Brasil apresenta-se mais uma vez na Conferência das Partes da Convenção-Quadro sobre Mudança do Clima com propostas concretas e avançadas para levarmos adiante a empreitada coletiva de implementar o Acordo de Paris.;O Brasil apresenta-se mais uma vez na Conferência das Partes da Convenção-Quadro sobre Mudança do Clima com propostas concretas e avançadas para levarmos adiante a empreitada coletiva de implementar o Acordo de Paris.
Acordo de Paris;COP23;2017;Bonn, Alemanhã;José Sarney Filho, Ministro do Meio Ambiente;Aqui em Bonn, o BASIC, formado por Brasil, África do Sul, Índia e China, apresentou declaração conjunta, em defesa da implementação dos termos estabelecidos em Paris. Estou seguro de que nossa posição representa o conjunto dos países em desenvolvimento, bem como a integridade do Acordo.;Aqui em Bonn, o BASIC, formado por Brasil, África do Sul, Índia e China, apresentou declaração conjunta, em defesa da implementação dos termos estabelecidos em Paris. Estou seguro de que nossa posição representa o conjunto dos países em desenvolvimento, bem como a integridade do Acordo.
Acordo de Paris;COP23;2017;Bonn, Alemanhã;José Sarney Filho, Ministro do Meio Ambiente;Cientes das nossas responsabilidades e do desafio global com que nos deparamos, declaramos, sob o Acordo de Paris, uma contribuição nacional ambiciosa. Somos o único grande país em desenvolvimento com metas absolutas de redução de emissões para o conjunto da economia: 37% até 2025 e 43% até 2030.;Cientes das nossas responsabilidades e do desafio global com que nos deparamos, declaramos, sob o Acordo de Paris, uma contribuição nacional ambiciosa. Somos o único grande país em desenvolvimento com metas absolutas de redução de emissões para o conjunto da economia: 37% até 2025 e 43% até 2030.
Acordo de Paris;COP23;2017;Bonn, Alemanhã;José Sarney Filho, Ministro do Meio Ambiente;Os empresários do setor, que é o mais dinâmico na nossa economia, em termos de geração de empregos e exportações, estão apoiando nossas ações sob o Acordo de Paris, porque entendem que seus negócios dependem do sucesso que tenhamos no enfrentamento da mudança do clima em termos globais.;No setor agropecuário, fixamos a meta de restaurar 15 milhões de hectares de pastagens degradadas até 2030 e aumentar 5 milhões de hectares de sistemas de integração lavoura-pecuária e florestas até 2030. Os empresários do setor, que é o mais dinâmico na nossa economia, em termos de geração de empregos e exportações, estão apoiando nossas ações sob o Acordo de Paris, porque entendem que seus negócios dependem do sucesso que tenhamos no enfrentamento da mudança do clima em termos globais.
Adaptação;COP10;2004;Buenos Aires, Argentina;Marina Silva, Ministra do Meio Ambiente;A questão da adaptação é hoje reconhecida como parte da agenda positiva do regime de mudança do clima. Apesar de as populações dos países em desenvolvimento serem as mais vulneráveis ao fenômeno, a adaptação envolve um comprometimento ético tanto da parte dos países que têm metas de redução de emissões quanto dos países em desenvolvimento.;A questão da adaptação é hoje reconhecida como parte da agenda positiva do regime de mudança do clima. Apesar de as populações dos países em desenvolvimento serem as mais vulneráveis ao fenômeno, a adaptação envolve um comprometimento ético tanto da parte dos países que têm metas de redução de emissões quanto dos países em desenvolvimento.
Adaptação;COP10;2004;Buenos Aires, Argentina;Marina Silva, Ministra do Meio Ambiente;O momento atual requer a superação de antigos impasses e a construção de políticas equilibradas que enfoquem a questão da adaptação do prisma dos impactos mais imediatos e daqueles de mais longo prazo.;O momento atual requer a superação de antigos impasses e a construção de políticas equilibradas que enfoquem a questão da adaptação do prisma dos impactos mais imediatos e daqueles de mais longo prazo.
